Rk,Player,Gls/90,G/Sh,G/SoT,SoT%,SoT/90,Sh/90,PK/90,PKatt/90,Dist,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Pos
1,Robert Lewandowski,1.5,0.26,0.59,43.8,2.1,4.7,0.3,0.3,13.8,2020-2021,31,pl POL,Bayern Munich,de Bundesliga,29,"2,458",27.3,28,1,0,FW
2,Luis Muriel,1.4,0.24,0.56,42.9,2.3,5.3,0.1,0.2,18,2020-2021,29,co COL,Atalanta,it Serie A,36,"1,436",16,16,20,1,FW
3,Paco Alcácer,1.3,0.33,0.65,51,1.9,3.8,0.1,0.1,16,2018-2019,24,es ESP,Dortmund,de Bundesliga,26,"1,211",13.5,11,15,2,FW
4,Mateo Retegui,1.3,0.29,0.72,39.7,1.6,4.1,0.1,0.2,13.1,2024-2025,25,it ITA,Atalanta,it Serie A,23,"1,371",15.2,19,4,0,FW
5,Luis Muriel,1.3,0.17,0.35,48.6,2.4,5,0.4,0.5,19.9,2019-2020,28,co COL,Atalanta,it Serie A,34,"1,260",14,10,24,1,FW
6,Kylian Mbappé,1.3,0.26,0.47,55.3,2.6,4.7,0,0.1,14.4,2018-2019,19,fr FRA,Paris S-G,fr Ligue 1,29,"2,343",26,24,5,0,FW
7,Robert Lewandowski,1.2,0.19,0.48,40,2,5,0.2,0.3,13.9,2017-2018,28,pl POL,Bayern Munich,de Bundesliga,30,"2,172",24.1,24,6,3,FW
8,Lionel Messi,1.2,0.19,0.39,49.7,2.7,5.5,0.1,0.2,20.2,2018-2019,31,ar ARG,Barcelona,es La Liga,34,"2,713",30.1,29,5,0,FW
9,Harry Kane,1.2,0.18,0.41,42.6,1.6,3.8,0.5,0.5,16.1,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,20,"1,614",17.9,20,0,0,FW
10,Erling Haaland,1.2,0.25,0.55,45.7,1.7,3.8,0.2,0.2,12.6,2022-2023,22,no NOR,Manchester City,eng Premier League,35,"2,769",30.8,33,2,1,FW
11,Ousmane Dembélé,1.2,0.24,0.43,56.5,2.6,4.5,0.1,0.1,16,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,20,"1,232",13.7,14,6,1,FW
12,Serhou Guirassy,1.1,0.27,0.6,45.5,1.6,3.6,0.2,0.2,14.5,2023-2024,27,gn GUI,Stuttgart,de Bundesliga,28,"2,208",24.5,25,3,0,FW
13,Harry Kane,1.1,0.22,0.51,43.3,1.9,4.5,0.2,0.2,14.4,2023-2024,30,eng ENG,Bayern Munich,de Bundesliga,32,"2,839",31.5,32,0,0,FW
14,Kylian Mbappé,1.1,0.19,0.42,44.6,2.1,4.7,0.3,0.3,18.3,2023-2024,24,fr FRA,Paris S-G,fr Ligue 1,29,"2,158",24,24,5,2,FW
