,,,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Performance,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,,-additional
Rk,Player,Gls/90,G/Sh,G/SoT,SoT%,SoT/90,Sh/90,G-PK/90,PK/90,PKatt/90,Dist,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Pos,-9999
1,Gabriel Barbosa,0.9,0.18,0.35,50.9,2.0,4.0,0.7,0.2,0.2,16.1,2019,22,br BRA,Flamengo,br Série A,29,2537,28.2,29,0,1,FW,72d0e1b6
2,Pedro,0.8,0.21,0.46,46.2,1.8,4.0,0.8,0.0,0.1,10.5,2022,24,br BRA,Flamengo,br Série A,24,1174,13.0,12,12,4,FW,1ab6fad3
3,Thiago Galhardo,0.8,0.17,0.39,43.8,1.4,3.1,0.5,0.3,0.3,15.5,2020,30,br BRA,Internacional,br Série A,29,1859,20.7,20,9,0,FW,766f48dd
4,Germán Cano,0.8,0.20,0.41,48.5,1.8,3.8,0.8,0.0,0.0,16.6,2022,33,ar ARG,Fluminense,br Série A,38,3081,34.2,37,1,0,FW,9ccf4e14
5,Bruno Henrique,0.7,0.22,0.47,46.4,1.6,3.4,0.7,0.0,0.0,14.6,2019,28,br BRA,Flamengo,br Série A,33,2570,28.6,29,4,0,FWMF,5edff24f
6,Pedro,0.7,0.20,0.41,50.0,1.8,3.6,0.7,0.0,0.1,14.1,2020,22,br BRA,Flamengo,br Série A,34,1591,17.7,15,19,2,FW,1ab6fad3
7,Gabriel Barbosa,0.7,0.15,0.31,47.5,1.8,3.7,0.5,0.2,0.2,16.7,2021,24,br BRA,Flamengo,br Série A,18,1482,16.5,18,0,0,FW,72d0e1b6
8,Gabriel Barbosa,0.7,0.11,0.27,42.9,1.5,3.6,0.4,0.3,0.3,16.4,2020,23,br BRA,Flamengo,br Série A,25,1758,19.5,22,3,0,FW,72d0e1b6
9,Marinho,0.7,0.13,0.34,36.4,1.3,3.7,0.5,0.3,0.3,23.5,2020,29,br BRA,Santos,br Série A,27,2143,23.8,24,3,0,FWMF,c077c735
10,Yuri Alberto,0.7,0.20,0.43,46.0,1.6,3.5,0.7,0.0,0.0,13.9,2020,18,br BRA,Internacional,br Série A,23,1299,14.4,14,9,2,FWMF,65159211
11,Matheus Peixoto,0.7,0.23,0.83,27.3,0.6,2.1,0.5,0.2,0.2,20.2,2021,25,br BRA,Juventude,br Série A,12,948,10.5,11,1,1,FW,05160796
12,Luciano,0.6,0.26,0.55,47.7,1.1,2.3,0.6,0.0,0.1,15.9,2020,26,br BRA,2 Teams,br Série A,32,2500,27.8,29,3,0,FW,24ce161c
13,Giorgian De Arrascaeta,0.6,0.26,0.67,39.1,0.9,2.3,0.6,0.0,0.0,15.9,2019,24,uy URU,Flamengo,br Série A,23,1814,20.2,22,1,2,MFFW,be8d02dd
14,Endrick,0.6,0.22,0.44,51.0,1.4,2.8,0.6,0.0,0.1,17.4,2023,16,br BRA,Palmeiras,br Série A,31,1558,17.3,18,13,6,FW,a2728fbf
15,Vitor Roque,0.6,0.24,0.52,45.1,1.2,2.7,0.6,0.0,0.0,14.0,2023,17,br BRA,Ath Paranaense,br Série A,25,1714,19.0,19,6,0,FW,cb00f1e6
16,Tiquinho Soares,0.6,0.16,0.50,31.6,0.9,2.8,0.4,0.2,0.3,17.5,2023,32,br BRA,Botafogo (RJ),br Série A,33,2436,27.1,30,3,0,FW,4d982baf
17,Pedro Raul,0.6,0.18,0.41,43.8,1.3,2.9,0.5,0.1,0.1,14.1,2022,25,br BRA,Goiás,br Série A,34,2745,30.5,33,1,0,FW,ed074559
18,Yuri Alberto,0.6,0.15,0.36,41.8,1.4,3.2,0.5,0.1,0.1,16.5,2024,22,br BRA,Corinthians,br Série A,29,2197,24.4,25,4,0,FW,65159211
19,Ángel Romero,0.6,0.33,0.73,45.8,0.8,1.8,0.6,0.0,0.0,15.1,2023,30,py PAR,Corinthians,br Série A,22,1196,13.3,13,9,10,FW,36edfb9b
20,Paulinho,0.6,0.22,0.43,52.2,1.4,2.7,0.6,0.0,0.0,13.3,2023,22,br BRA,Atlético Mineiro,br Série A,36,2991,33.2,35,1,0,FWMF,53070b63
21,Jonathan Calleri,0.6,0.16,0.35,45.5,1.3,2.9,0.5,0.1,0.1,11.4,2023,29,ar ARG,São Paulo,br Série A,19,1350,15.0,15,4,1,FW,6922f806
22,Luciano Rodríguez,0.6,0.14,0.31,43.2,1.6,3.7,0.5,0.1,0.1,17.2,2024,20,uy URU,Bahia,br Série A,19,900,10.0,8,11,0,FWMF,8ccc9220
23,Pedro,0.6,0.17,0.32,52.4,1.2,2.3,0.4,0.2,0.3,15.8,2024,26,br BRA,Flamengo,br Série A,21,1653,18.4,19,2,0,FW,1ab6fad3
24,Hugo Rodallega,0.6,0.19,0.40,48.4,1.5,3.1,0.6,0.0,0.0,19.5,2021,35,co COL,Bahia,br Série A,22,909,10.1,7,15,0,FW,9683d0b2
25,Diego Souza,0.6,0.22,0.52,42.0,1.0,2.3,0.5,0.1,0.1,16.7,2020,34,br BRA,Grêmio,br Série A,25,1986,22.1,25,0,3,FW,273a2635
26,Hulk,0.6,0.12,0.33,37.7,1.2,3.3,0.4,0.2,0.2,22.8,2021,34,br BRA,Atlético Mineiro,br Série A,35,2921,32.5,33,2,0,FW,33a1f72e
27,Luiz Adriano,0.6,0.32,0.57,56.0,0.8,1.5,0.5,0.1,0.2,13.0,2020,32,br BRA,Palmeiras,br Série A,24,1538,17.1,19,5,0,FW,2557c196
28,Élton Rodrigues Brandão,0.6,0.14,0.43,33.3,0.9,2.7,0.4,0.2,0.2,17.0,2021,35,br BRA,Cuiabá,br Série A,31,1387,15.4,13,18,3,FW,e59be3c8
29,Alerrandro,0.6,0.15,0.33,43.9,1.7,4.0,0.6,0.0,0.0,14.6,2022,22,br BRA,Red Bull Bragantino,br Série A,20,929,10.3,11,9,3,FW,3415a44d
30,Jonathan Calleri,0.6,0.17,0.45,38.8,1.2,3.1,0.5,0.0,0.1,13.0,2022,28,ar ARG,São Paulo,br Série A,36,2818,31.3,30,6,0,FW,6922f806
31,Michael,0.6,0.20,0.50,39.4,1.1,2.9,0.6,0.0,0.0,17.6,2021,24,br BRA,Flamengo,br Série A,35,2195,24.4,23,12,0,FWMF,f523d00b
32,Helinho,0.6,0.18,0.47,37.5,1.2,3.3,0.6,0.0,0.0,27.4,2024,23,br BRA,Red Bull Bragantino,br Série A,17,1102,12.2,14,3,1,FWMF,5837cb60
33,Claudinho,0.6,0.14,0.41,34.0,1.1,3.2,0.4,0.1,0.2,24.6,2020,23,br BRA,Red Bull Bragantino,br Série A,35,2838,31.5,33,2,1,MFFW,8d46713e
34,Thiago Borbas,0.6,0.16,0.35,47.3,1.6,3.5,0.6,0.0,0.0,13.7,2023,20,uy URU,Red Bull Bragantino,br Série A,33,1428,15.9,10,23,2,FW,04f9c45f
35,Alerrandro,0.6,0.17,0.39,44.4,1.1,2.4,0.4,0.2,0.2,18.4,2024,24,br BRA,Vitória,br Série A,34,2387,26.5,32,2,1,FW,3415a44d
36,Enner Valencia,0.6,0.15,0.33,46.2,1.5,3.2,0.5,0.1,0.1,15.0,2023,33,ec ECU,Internacional,br Série A,22,1442,16.0,18,4,1,FW,fb485406
37,Estêvão Willian,0.6,0.12,0.29,42.7,1.5,3.5,0.4,0.1,0.1,19.9,2024,17,br BRA,Palmeiras,br Série A,31,2097,23.3,26,5,0,FW,2eda11b1
38,Gonzalo Mastriani,0.6,0.19,0.43,42.6,1.2,2.7,0.5,0.1,0.1,14.2,2023,29,uy URU,América (MG),br Série A,24,1793,19.9,22,2,9,FW,b4339e2b
39,Pedro,0.5,0.15,0.36,42.4,1.0,2.5,0.4,0.2,0.2,16.3,2023,25,br BRA,Flamengo,br Série A,34,2151,23.9,26,8,1,FW,1ab6fad3
40,Gilberto,0.5,0.11,0.32,33.8,1.0,2.9,0.3,0.2,0.2,17.6,2019,29,br BRA,Bahia,br Série A,32,2336,26.0,27,5,1,FW,5da22685
41,Moises,0.5,0.22,0.54,40.6,1.0,2.5,0.5,0.0,0.0,17.4,2024,27,br BRA,Fortaleza,br Série A,26,1171,13.0,13,13,3,FWMF,ddd07a25
42,Fernandão,0.5,0.20,0.50,39.1,1.0,2.5,0.5,0.1,0.1,14.4,2020,32,br BRA,2 Teams,br Série A,25,1679,18.7,21,4,2,FW,7fcdacec
43,Luis Suárez,0.5,0.13,0.30,42.9,1.7,3.9,0.5,0.0,0.1,17.5,2023,36,uy URU,Grêmio,br Série A,33,2877,32.0,33,0,0,FW,a6154613
44,Gilberto,0.5,0.15,0.43,35.9,1.0,2.8,0.4,0.1,0.1,16.5,2021,31,br BRA,Bahia,br Série A,36,2551,28.3,29,7,0,FW,5da22685
45,Bruno Henrique,0.5,0.20,0.37,54.5,1.4,2.6,0.5,0.0,0.0,16.8,2021,30,br BRA,Flamengo,br Série A,24,1900,21.1,21,3,0,FWMF,5edff24f
46,Brenner,0.5,0.16,0.41,40.3,1.3,3.2,0.5,0.0,0.0,14.1,2020,20,br BRA,São Paulo,br Série A,27,1908,21.2,21,6,0,FW,279508bf
47,Hulk,0.5,0.11,0.42,26.7,1.0,3.9,0.4,0.1,0.1,23.7,2022,35,br BRA,Atlético Mineiro,br Série A,25,2088,23.2,24,1,0,FW,33a1f72e
48,Guilherme Bissoli,0.5,0.10,0.31,32.0,0.6,1.8,0.2,0.3,0.3,19.4,2022,24,br BRA,Avaí,br Série A,32,2443,27.1,29,3,0,FW,c9024e62
49,Diego Souza,0.5,0.21,0.42,50.0,1.2,2.4,0.5,0.0,0.1,15.8,2021,35,br BRA,Grêmio,br Série A,31,1764,19.6,24,7,2,FW,273a2635
50,Rafael Moura,0.5,0.15,0.58,26.1,0.7,2.6,0.4,0.1,0.1,15.0,2019,35,br BRA,Goiás,br Série A,23,1597,17.7,19,4,2,FW,66a75186
51,Pablo Vegetti,0.5,0.10,0.28,37.2,1.5,3.9,0.4,0.1,0.1,12.2,2023,34,ar ARG,Vasco da Gama,br Série A,21,1792,19.9,20,1,0,FW,06cc28cd
52,Biel,0.5,0.18,0.50,35.7,1.0,2.8,0.5,0.0,0.0,16.7,2024,22,br BRA,Bahia,br Série A,26,904,10.0,4,22,0,FWMF,1cb046cd
53,Yuri Alberto,0.5,0.16,0.40,40.8,1.2,3.0,0.5,0.0,0.0,16.3,2022,20,br BRA,Corinthians,br Série A,20,1453,16.1,15,5,0,FW,65159211
54,Martin Braithwaite,0.5,0.21,0.53,38.5,0.9,2.4,0.5,0.0,0.0,12.5,2024,32,dk DEN,Grêmio,br Série A,18,1462,16.2,18,0,0,FW,fd771f95
55,Luciano,0.5,0.14,0.33,42.2,1.2,2.8,0.4,0.1,0.1,17.8,2022,28,br BRA,São Paulo,br Série A,31,2037,22.6,25,6,3,FW,24ce161c
56,Alerrandro,0.5,0.22,0.50,43.5,1.0,2.2,0.5,0.0,0.1,17.5,2020,20,br BRA,Red Bull Bragantino,br Série A,16,926,10.3,11,5,1,FW,3415a44d
