Rank,Name,Nationality,Position,Team,League,Age,Birth Year,Matches Played,Matches Started,Playing Time Min,90 Minutes Played,Goals,Assists,Goals + Assists,Goals - Penalty Kick,Penalty Kick,Penalty Kick Attempts,Yellow Cards,Red Cards,Expected Goals,Non-Penalty Expected Goals,Expected xAG,Non-Penalty Expected Goals + Expected Assisted Goals,Progressive Carries,Progressive Passes,Progressive Receptions,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Goals - Penalty Kick Per 90,Per 90 Minutes G+A-PK,Expected Goals Per 90,Expected Assisted Goals Per 90,Per 90 Minutes xG+xAG,Non-Penalty Expected Goals Per 90,Non-Penalty Expected Goals + Expected Assisted Goals Per 90
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-044,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-044,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-281,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-032,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-318,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-142,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-092,1999,21,21,1862,20.7,4,1,5,2,2,3,2,0,4.2,1.8,2.8,4.6,78,146,87,0.19,0.05,0.24,0.10,0.15,0.20,0.13,0.34,0.09,0.22
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-016,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-059,1993,14,10,868,9.6,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.5,26,29,58,0.21,0.21,0.41,0.21,0.41,0.12,0.14,0.26,0.12,0.26
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-214,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,18,0.00,0.63,0.63,0.00,0.63,0.02,0.07,0.09,0.02,0.09
